,ru_name,poster,kp_rate,imbd_rate,kp_url,ID
42,Клаус,https://kinopoiskapiunofficial.tech/images/posters/kp/957887.jpg,8.4,8.4,https://www.kinopoisk.ru/film/957887/,957887
43,В джазе только девушки,https://kinopoiskapiunofficial.tech/images/posters/kp/356.jpg,8.4,8.5,https://www.kinopoisk.ru/film/356/,356
44,Пробуждение,https://kinopoiskapiunofficial.tech/images/posters/kp/2950.jpg,8.4,8.4,https://www.kinopoisk.ru/film/2950/,2950
45,Хатико: Самый верный друг,https://kinopoiskapiunofficial.tech/images/posters/kp/387556.jpg,8.4,8.3,https://www.kinopoisk.ru/film/387556/,387556
46,Унесённые призраками,https://kinopoiskapiunofficial.tech/images/posters/kp/370.jpg,8.4,8.6,https://www.kinopoisk.ru/film/370/,370
47,...А зори здесь тихие,https://kinopoiskapiunofficial.tech/images/posters/kp/43395.jpg,8.4,8.4,https://www.kinopoisk.ru/film/43395/,43395
48,Огни большого города,https://kinopoiskapiunofficial.tech/images/posters/kp/414.jpg,8.4,8.5,https://www.kinopoisk.ru/film/414/,414
49,"Кавказская пленница, или Новые приключения Шурика",https://kinopoiskapiunofficial.tech/images/posters/kp/44745.jpg,8.4,8.3,https://www.kinopoisk.ru/film/44745/,44745
50,Эта замечательная жизнь,https://kinopoiskapiunofficial.tech/images/posters/kp/348.jpg,8.4,8.200000000000001,https://www.kinopoisk.ru/film/348/,348
51,"Хороший, плохой, злой",https://kinopoiskapiunofficial.tech/images/posters/kp/349.jpg,8.4,8.6,https://www.kinopoisk.ru/film/349/,349
52,Хористы,https://kinopoiskapiunofficial.tech/images/posters/kp/51481.jpg,8.4,8.200000000000001,https://www.kinopoisk.ru/film/51481/,51481
53,Молчание ягнят,https://kinopoiskapiunofficial.tech/images/posters/kp/345.jpg,8.4,8.4,https://www.kinopoisk.ru/film/345/,345
54,Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей,https://kinopoiskapiunofficial.tech/images/posters/kp/77263.jpg,8.4,8.5,https://www.kinopoisk.ru/film/77263/,77263
55,Семь,https://kinopoiskapiunofficial.tech/images/posters/kp/377.jpg,8.4,8.3,https://www.kinopoisk.ru/film/377/,377
56,Терминатор 2: Судный день,https://kinopoiskapiunofficial.tech/images/posters/kp/444.jpg,8.4,8.4,https://www.kinopoisk.ru/film/444/,444
57,Шоу Трумана,https://kinopoiskapiunofficial.tech/images/posters/kp/4541.jpg,8.4,8.4,https://www.kinopoisk.ru/film/4541/,4541
58,Как приручить дракона,https://kinopoiskapiunofficial.tech/images/posters/kp/280172.jpg,8.4,8.200000000000001,https://www.kinopoisk.ru/film/280172/,280172
59,Джанго освобожденный,https://kinopoiskapiunofficial.tech/images/posters/kp/586397.jpg,8.4,8.5,https://www.kinopoisk.ru/film/586397/,586397
60,Крестный отец 2,https://kinopoiskapiunofficial.tech/images/posters/kp/327.jpg,8.4,8.6,https://www.kinopoisk.ru/film/327/,327
61,Собачье сердце,https://kinopoiskapiunofficial.tech/images/posters/kp/77335.jpg,8.4,8.6,https://www.kinopoisk.ru/film/77335/,77335
62,Нокдаун,https://kinopoiskapiunofficial.tech/images/posters/kp/12244.jpg,8.4,8.200000000000001,https://www.kinopoisk.ru/film/12244/,12244
63,Игра,https://kinopoiskapiunofficial.tech/images/posters/kp/12198.jpg,8.4,8.6,https://www.kinopoisk.ru/film/12198/,12198
64,Храброе сердце,https://kinopoiskapiunofficial.tech/images/posters/kp/399.jpg,8.4,8.3,https://www.kinopoisk.ru/film/399/,399
65,Москва слезам не верит,https://kinopoiskapiunofficial.tech/images/posters/kp/46708.jpg,8.4,8.4,https://www.kinopoisk.ru/film/46708/,46708
66,Шерлок Холмс и доктор Ватсон: Знакомство,https://kinopoiskapiunofficial.tech/images/posters/kp/77269.jpg,8.4,8.200000000000001,https://www.kinopoisk.ru/film/77269/,77269
67,Гран Торино,https://kinopoiskapiunofficial.tech/images/posters/kp/408410.jpg,8.3,8.3,https://www.kinopoisk.ru/film/408410/,408410
68,Одержимость,https://kinopoiskapiunofficial.tech/images/posters/kp/725190.jpg,8.3,8.3,https://www.kinopoisk.ru/film/725190/,725190
69,Человек дождя,https://kinopoiskapiunofficial.tech/images/posters/kp/519.jpg,8.3,8.5,https://www.kinopoisk.ru/film/519/,519
70,Прислуга,https://kinopoiskapiunofficial.tech/images/posters/kp/470553.jpg,8.3,8.200000000000001,https://www.kinopoisk.ru/film/470553/,470553
71,Земляне,https://kinopoiskapiunofficial.tech/images/posters/kp/77413.jpg,8.3,8.5,https://www.kinopoisk.ru/film/77413/,77413
72,Изгой,https://kinopoiskapiunofficial.tech/images/posters/kp/627.jpg,8.3,8.100000000000001,https://www.kinopoisk.ru/film/627/,627
73,Летят журавли,https://kinopoiskapiunofficial.tech/images/posters/kp/7724.jpg,8.3,8.100000000000001,https://www.kinopoisk.ru/film/7724/,7724
74,Шестое чувство,https://kinopoiskapiunofficial.tech/images/posters/kp/395.jpg,8.3,8.4,https://www.kinopoisk.ru/film/395/,395
75,Зверополис,https://kinopoiskapiunofficial.tech/images/posters/kp/775276.jpg,8.3,8.200000000000001,https://www.kinopoisk.ru/film/775276/,775276
76,Спасти рядового Райана,https://kinopoiskapiunofficial.tech/images/posters/kp/371.jpg,8.3,8.3,https://www.kinopoisk.ru/film/371/,371
77,Офицеры,https://kinopoiskapiunofficial.tech/images/posters/kp/42736.jpg,8.3,8.200000000000001,https://www.kinopoisk.ru/film/42736/,42736
78,Белый Бим Черное ухо,https://kinopoiskapiunofficial.tech/images/posters/kp/46068.jpg,8.3,8.4,https://www.kinopoisk.ru/film/46068/,46068
79,Эффект бабочки,https://kinopoiskapiunofficial.tech/images/posters/kp/5167.jpg,8.3,8.100000000000001,https://www.kinopoisk.ru/film/5167/,5167
80,В погоне за счастьем,https://kinopoiskapiunofficial.tech/images/posters/kp/104938.jpg,8.3,8.3,https://www.kinopoisk.ru/film/104938/,104938
81,Малыш,https://kinopoiskapiunofficial.tech/images/posters/kp/2127.jpg,8.3,8.4,https://www.kinopoisk.ru/film/2127/,2127
82,Судьба человека,https://kinopoiskapiunofficial.tech/images/posters/kp/44027.jpg,8.3,8.100000000000001,https://www.kinopoisk.ru/film/44027/,44027
83,Назад в будущее 2,https://kinopoiskapiunofficial.tech/images/posters/kp/5502.jpg,8.3,8.3,https://www.kinopoisk.ru/film/5502/,5502
84,Красавица и чудовище,https://kinopoiskapiunofficial.tech/images/posters/kp/540.jpg,8.3,8.5,https://www.kinopoisk.ru/film/540/,540
85,Дневник памяти,https://kinopoiskapiunofficial.tech/images/posters/kp/3561.jpg,8.3,8.4,https://www.kinopoisk.ru/film/3561/,3561
86,Укрощение строптивого,https://kinopoiskapiunofficial.tech/images/posters/kp/63912.jpg,8.3,8.200000000000001,https://www.kinopoisk.ru/film/63912/,63912
87,Служебный роман,https://kinopoiskapiunofficial.tech/images/posters/kp/43869.jpg,8.3,8.5,https://www.kinopoisk.ru/film/43869/,43869
88,Римские каникулы,https://kinopoiskapiunofficial.tech/images/posters/kp/497.jpg,8.3,8.4,https://www.kinopoisk.ru/film/497/,497
89,Однажды в Америке,https://kinopoiskapiunofficial.tech/images/posters/kp/469.jpg,8.3,8.100000000000001,https://www.kinopoisk.ru/film/469/,469
90,Джентльмены,https://kinopoiskapiunofficial.tech/images/posters/kp/1143242.jpg,8.3,8.100000000000001,https://www.kinopoisk.ru/film/1143242/,1143242
91,Унесённые ветром,https://kinopoiskapiunofficial.tech/images/posters/kp/456.jpg,8.3,8.5,https://www.kinopoisk.ru/film/456/,456
92,Балто,https://kinopoiskapiunofficial.tech/images/posters/kp/7097.jpg,8.3,8.3,https://www.kinopoisk.ru/film/7097/,7097
93,Темный рыцарь: Возрождение легенды,https://kinopoiskapiunofficial.tech/images/posters/kp/437410.jpg,8.3,8.5,https://www.kinopoisk.ru/film/437410/,437410
94,Счастливое число Слевина,https://kinopoiskapiunofficial.tech/images/posters/kp/86326.jpg,8.2,8.299999999999999,https://www.kinopoisk.ru/film/86326/,86326
95,Жизнь других,https://kinopoiskapiunofficial.tech/images/posters/kp/126196.jpg,8.2,8.1,https://www.kinopoisk.ru/film/126196/,126196
96,Адвокат дьявола,https://kinopoiskapiunofficial.tech/images/posters/kp/3797.jpg,8.2,8.299999999999999,https://www.kinopoisk.ru/film/3797/,3797
97,Зеленая книга,https://kinopoiskapiunofficial.tech/images/posters/kp/1108577.jpg,8.2,8.299999999999999,https://www.kinopoisk.ru/film/1108577/,1108577
98,Амадей,https://kinopoiskapiunofficial.tech/images/posters/kp/397.jpg,8.2,8.1,https://www.kinopoisk.ru/film/397/,397
99,Они сражались за Родину,https://kinopoiskapiunofficial.tech/images/posters/kp/42770.jpg,8.2,7.999999999999999,https://www.kinopoisk.ru/film/42770/,42770
100,…А в душе я танцую,https://kinopoiskapiunofficial.tech/images/posters/kp/84014.jpg,8.2,8.2,https://www.kinopoisk.ru/film/84014/,84014
101,Ходячий замок,https://kinopoiskapiunofficial.tech/images/posters/kp/49684.jpg,8.2,7.999999999999999,https://www.kinopoisk.ru/film/49684/,49684
102,Брат,https://kinopoiskapiunofficial.tech/images/posters/kp/41519.jpg,8.2,8.299999999999999,https://www.kinopoisk.ru/film/41519/,41519
103,Шерлок Холмс и доктор Ватсон: Смертельная схватка,https://kinopoiskapiunofficial.tech/images/posters/kp/354799.jpg,8.2,7.999999999999999,https://www.kinopoisk.ru/film/354799/,354799
104,Гонка,https://kinopoiskapiunofficial.tech/images/posters/kp/596125.jpg,8.2,8.399999999999999,https://www.kinopoisk.ru/film/596125/,596125
105,Малышка на миллион,https://kinopoiskapiunofficial.tech/images/posters/kp/81297.jpg,8.2,8.399999999999999,https://www.kinopoisk.ru/film/81297/,81297
106,Баллада о солдате,https://kinopoiskapiunofficial.tech/images/posters/kp/46019.jpg,8.2,7.999999999999999,https://www.kinopoisk.ru/film/46019/,46019
107,Девчата,https://kinopoiskapiunofficial.tech/images/posters/kp/44168.jpg,8.2,8.399999999999999,https://www.kinopoisk.ru/film/44168/,44168
108,Хоббит: Нежданное путешествие,https://kinopoiskapiunofficial.tech/images/posters/kp/278522.jpg,8.2,8.299999999999999,https://www.kinopoisk.ru/film/278522/,278522
109,Свидетель обвинения,https://kinopoiskapiunofficial.tech/images/posters/kp/489.jpg,8.2,8.399999999999999,https://www.kinopoisk.ru/film/489/,489
110,Шерлок Холмс и доктор Ватсон: Кровавая надпись,https://kinopoiskapiunofficial.tech/images/posters/kp/77265.jpg,8.2,7.999999999999999,https://www.kinopoisk.ru/film/77265/,77265
111,Пятый элемент,https://kinopoiskapiunofficial.tech/images/posters/kp/2656.jpg,8.2,8.1,https://www.kinopoisk.ru/film/2656/,2656
112,Один дома,https://kinopoiskapiunofficial.tech/images/posters/kp/8124.jpg,8.2,8.299999999999999,https://www.kinopoisk.ru/film/8124/,8124
113,Мальчик в полосатой пижаме,https://kinopoiskapiunofficial.tech/images/posters/kp/281251.jpg,8.2,7.999999999999999,https://www.kinopoisk.ru/film/281251/,281251
114,День сурка,https://kinopoiskapiunofficial.tech/images/posters/kp/527.jpg,8.2,8.2,https://www.kinopoisk.ru/film/527/,527
115,Общество мертвых поэтов,https://kinopoiskapiunofficial.tech/images/posters/kp/4996.jpg,8.2,7.999999999999999,https://www.kinopoisk.ru/film/4996/,4996
116,Одиннадцать друзей Оушена,https://kinopoiskapiunofficial.tech/images/posters/kp/770.jpg,8.2,8.2,https://www.kinopoisk.ru/film/770/,770
117,Казино,https://kinopoiskapiunofficial.tech/images/posters/kp/2494.jpg,8.2,8.299999999999999,https://www.kinopoisk.ru/film/2494/,2494
118,Аладдин,https://kinopoiskapiunofficial.tech/images/posters/kp/2361.jpg,8.2,7.999999999999999,https://www.kinopoisk.ru/film/2361/,2361
119,Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,https://kinopoiskapiunofficial.tech/images/posters/kp/368937.jpg,8.2,8.399999999999999,https://www.kinopoisk.ru/film/368937/,368937
120,Артист,https://kinopoiskapiunofficial.tech/images/posters/kp/539550.jpg,8.2,8.299999999999999,https://www.kinopoisk.ru/film/539550/,539550
121,"Добро пожаловать, или Посторонним вход воспрещен",https://kinopoiskapiunofficial.tech/images/posters/kp/44238.jpg,8.2,8.399999999999999,https://www.kinopoisk.ru/film/44238/,44238
122,Город бога,https://kinopoiskapiunofficial.tech/images/posters/kp/439.jpg,8.2,8.1,https://www.kinopoisk.ru/film/439/,439
123,Новые времена,https://kinopoiskapiunofficial.tech/images/posters/kp/408.jpg,8.2,8.1,https://www.kinopoisk.ru/film/408/,408
124,Могила светлячков,https://kinopoiskapiunofficial.tech/images/posters/kp/8219.jpg,8.2,8.2,https://www.kinopoisk.ru/film/8219/,8219
125,Семь жизней,https://kinopoiskapiunofficial.tech/images/posters/kp/395787.jpg,8.2,7.999999999999999,https://www.kinopoisk.ru/film/395787/,395787
126,Невидимая сторона,https://kinopoiskapiunofficial.tech/images/posters/kp/450213.jpg,8.2,8.2,https://www.kinopoisk.ru/film/450213/,450213
127,Любовь и голуби,https://kinopoiskapiunofficial.tech/images/posters/kp/45146.jpg,8.2,8.2,https://www.kinopoisk.ru/film/45146/,45146
128,Приключения Шерлока Холмса и доктора Ватсона: Король шантажа,https://kinopoiskapiunofficial.tech/images/posters/kp/368936.jpg,8.2,7.999999999999999,https://www.kinopoisk.ru/film/368936/,368936
129,Как украсть миллион,https://kinopoiskapiunofficial.tech/images/posters/kp/10156.jpg,8.2,7.999999999999999,https://www.kinopoisk.ru/film/10156/,10156
